#separator:tab
#html:true
#deck column:3
#tags column:4
<b>bs01 · minimako</b><br>这题考的是什么？	这轮考的不是&quot;你会不会写代码&quot;，是&quot;你能不能在没人带你读代码的情况下，把一个陌生仓库的 bug 定位到根因&quot;	Stripe::Loop::Bug Squash	stripe-loop bs01 Bug_Squash
<b>bs01 · minimako</b><br>三步套路？	跑测试看现象 → 读 traceback/assertion 找&quot;数据在哪一行变错&quot; → 假设 + 断点验证，最小改动，跑回归	Stripe::Loop::Bug Squash	stripe-loop bs01 Bug_Squash
<b>bs01 · minimako</b><br>最值得带走的一个模式？	最值得带走的一个习惯：<b>永远从失败的那一行网上追，不要从代码第一行网下读</b>——traceback 已经把&quot;从哪开始看&quot;这件事替你做完了	Stripe::Loop::Bug Squash	stripe-loop bs01 Bug_Squash
<b>bs01 · minimako</b><br>方法层面最常见的 3 个跑偏？	<ul><li><b>改测试让它变绿</b>：把 <code>pytest.raises(LookupError)</code> 删掉或把断言放宽——这题的测试就是 spec，改测试等于</li><li><b>看到&quot;设计不够优雅&quot;就想重写模块</b>：比如把 <code>visit()</code> 的反射分发改成 <code>dict</code> 查表——功能等价，但对一个</li><li><b>只盯着栈顶那一行，不往上追一层</b>：<code>AttributeError</code> 本身告诉你&quot;缺了什么&quot;，但不会告诉你&quot;为什么会缺、</li></ul>	Stripe::Loop::Bug Squash	stripe-loop bs01 Bug_Squash
<b>cd01 · Subscription Email Scheduler</b><br>这题考的是什么？	把&quot;用户订阅生命周期&quot;建模成一个小状态机（plan / expire / canceled），四种事件	Stripe::Loop::Onsite Coding	stripe-loop cd01 Onsite_Coding
<b>cd01 · Subscription Email Scheduler</b><br>三步套路？	先抽出 <code>(plan, expire, canceled)</code> 这个状态 → Part 1 只用 <code>subscribe</code> 跑通&quot;生成排程&quot;→	Stripe::Loop::Onsite Coding	stripe-loop cd01 Onsite_Coding
<b>cd01 · Subscription Email Scheduler</b><br>最值得带走的一个模式？	**先写清楚&quot;谁改状态、谁读状态、公共规则是什么&quot;，再给每种事件写一个独立的	Stripe::Loop::Onsite Coding	stripe-loop cd01 Onsite_Coding
<b>cd01 · Subscription Email Scheduler</b><br>一句话建模？	这是一个 **每用户一个小状态机、四种事件各自算出新状态、但共用一条&quot;丢弃未来邮件	Stripe::Loop::Onsite Coding	stripe-loop cd01 Onsite_Coding
<b>cd01 · Subscription Email Scheduler</b><br>方法层面最常见的 3 个跑偏？	<ul><li><b>把四种事件的逻辑全塞进一个大 <code>if/elif</code> 函数</b>：能跑，但函数很快超过 40-50 行，面试官读起来要</li><li><b>公共规则写了四遍</b>：<code>change</code> 里写一次&quot;丢弃未来邮件&quot;，<code>renew</code>/<code>cancel</code> 各自再写一遍——第三遍开始</li><li><b>状态字段想到哪加到哪</b>：先不定义 <code>_Sub</code> 有哪些字段，写 <code>change</code> 时才发现还需要记&quot;是否取消&quot;，</li></ul>	Stripe::Loop::Onsite Coding	stripe-loop cd01 Onsite_Coding
<b>cd02 · PaymentLedger</b><br>这题考的是什么？	给一个单商户的支付/退款账本设计一个类——先记支付、再叠部分退款、最后加区间查询和持久化；难点不在算法，而在<b>错误契约</b>（幂等 <code>False</code> / <code>KeyError</code> / <code>ValueError</code>）要三个 Part 一以贯之	Stripe::Loop::Onsite Coding	stripe-loop cd02 Onsite_Coding
<b>cd02 · PaymentLedger</b><br>三步套路？	先把 6 个方法签名和 2 个状态字段写在纸上 → Part 1 用一个 dict 跑通&quot;存 + 查重 + 求和&quot; → 后面每个 Part 只在已有字段上加规则，不加第二份真相	Stripe::Loop::Onsite Coding	stripe-loop cd02 Onsite_Coding
